,Length,Width,Views from last 7 days,Price in Euros,clusters,cluster
893,-0.15009901303252252,0.018302508646038943,-0.14747363356024848,-0.2466457362166553,0,beige
894,-0.9303813848536283,-0.8423052015625145,0.04506977747353908,-0.24669200876025316,1,light pink
895,-0.710656637134603,-0.7570965173834501,2.310663913971106,-0.24669200876025316,4,dark purple
896,-0.6725940824116222,-0.808221727890889,0.07074223227804409,-0.2466931655738431,1,light pink
897,-0.7625601208477586,-0.8337843331446082,-0.08329249654898595,-0.2458799256201111,1,light pink
898,-0.8853983656355602,-1.0894103856818023,-0.6224140474435911,-0.24595164806268777,1,light pink
899,-0.9390319654724876,-0.7997008594729823,-0.34643515829516225,-0.24610203382938073,1,light pink
900,-0.8853983656355602,-0.8849095436520471,-0.5068880008233185,-0.24440903714049486,1,light pink
901,-0.16740017427024098,-0.3651365701597524,0.05790600487579159,-0.24808018506818827,1,light pink
902,-0.805813023942055,-0.7997008594729823,-0.5068880008233185,-0.24627555586787261,1,light pink
903,-0.7798612820854771,-0.8167425963087953,-0.6609227296503486,-0.24640280536276668,1,light pink
904,-0.7296879144960934,-0.8508260699804212,0.8216615353098156,-0.24065607935572048,1,light pink
905,-0.5307245602623302,-0.49294959642834946,-0.5004698871221923,-0.24663416808075586,1,light pink
906,0.05751492182009977,0.6147632978994921,-0.05120192804335469,-0.24663416808075586,0,beige
907,0.32222268875719356,0.47842940321298844,-0.03836570064110219,-0.24663416808075586,0,beige
908,-0.7158469855059185,-0.7911799910550761,0.05148789117466534,-0.23807906885766972,1,light pink
909,-0.7954323271994239,-0.7997008594729823,0.7510622845974267,-0.244320540900864,1,light pink
910,0.10595817328571186,0.44434592954136254,-0.648086502248096,-0.244320540900864,0,beige
911,-0.27120714169655213,-0.10098964920465177,-0.4876336597199398,-0.244320540900864,0,beige
912,-0.08781483257673589,0.10351119282510374,-0.7443582077649898,-0.244320540900864,0,beige
913,-0.4459488701975096,-0.8763886752341404,-0.1410555198591222,-0.244320540900864,1,light pink
914,0.3689358240990335,0.44434592954136254,-0.20523665687038473,-0.244320540900864,0,beige
915,0.00042108973562859724,0.23132421909370074,-0.6930132981559799,-0.244320540900864,0,beige
916,-0.4961222377868932,-0.41626178066719094,-0.4234525227086773,-0.244320540900864,1,light pink
917,0.42083930781218926,0.529554613720427,0.05790600487579159,-0.244320540900864,0,beige
918,-0.4372982895786502,-0.8849095436520471,-0.5646510241334548,-0.244320540900864,1,light pink
919,-0.27120714169655213,-0.23732354389115506,0.1092509144848016,-0.244320540900864,1,light pink
920,-0.0895449487005077,0.1205529296609167,-0.019111359537723433,-0.244320540900864,0,beige
921,-0.7798612820854771,-0.8678678068162342,-0.5325604556278236,-0.24048743907057815,1,light pink
